,codpro,codfor,estoque,min_dt_estoque
529,021627,00353,1.0,2014-12-15
530,021631,00353,1.0,2014-12-15
531,021633,00253,1.0,2014-12-16
532,022332,00573,1.0,2015-08-07
533,022356,00589,4.0,2015-08-08
534,021687,01652,1.0,2015-03-06
535,022418,00395,2.0,2015-09-18
536,022460,00076,2.0,2015-09-02
537,022462,00076,1.0,2015-09-02
538,022480,00397,10.0,2015-09-28
539,022482,01652,1.0,2015-09-08
540,021943,01652,1.0,2015-05-22
541,021933,01652,1.0,2015-06-05
542,021953,01652,2.0,2015-05-22
543,021959,01652,1.0,2015-06-05
544,021975,01652,1.0,2015-05-22
545,022011,00269,1.0,2015-05-25
546,022013,00123,3.0,2015-05-25
547,022069,00124,2.0,2015-06-06
548,022550,00269,2.0,2015-10-02
549,022165,00338,1.0,2015-06-30
550,022167,00338,4.0,2015-06-30
551,022301,00253,2.0,2015-08-03
552,022317,00265,1.0,2015-08-05
553,022383,00589,5.0,2016-04-08
554,022389,00397,20.0,2015-09-28
555,022924,01652,1.0,2016-02-03
556,022451,00253,3.0,2015-08-27
557,022461,00076,1.0,2015-09-02
558,023126,01652,7.0,2016-04-01
559,023138,01652,2.0,2016-04-01
560,023142,01652,7.0,2016-04-01
561,023296,00095,18.0,2016-04-20
562,023306,01652,2.0,2016-05-03
563,023310,01652,7.0,2016-05-03
564,023312,01652,1.0,2016-05-03
565,023330,00419,1.0,2016-05-11
566,023344,00419,1.0,2016-05-11
567,023356,00417,6.0,2016-05-02
568,023422,00417,2.0,2016-05-02
569,022549,00269,1.0,2015-10-02
570,022555,00990,4.0,2015-10-08
571,023498,00422,1.0,2016-05-13
572,023476,01652,2.0,2016-05-21
573,023480,01652,14.0,2016-05-21
574,023492,01652,2.0,2016-05-21
575,023496,00422,3.0,2016-05-13
576,023881,00421,13.0,2016-06-27
577,023500,00422,1.0,2016-05-13
578,023502,00422,1.0,2016-05-13
579,023530,00422,2.0,2016-05-13
580,022643,01652,1.0,2015-11-06
581,023566,00422,1.0,2016-05-13
582,023574,00422,1.0,2016-05-13
583,022659,01652,1.0,2015-11-04
584,022745,00444,3.0,2015-11-26
585,022883,00198,11.0,2015-12-03
586,022885,00198,14.0,2015-12-03
587,022963,00449,12.0,2016-02-15
588,023694,00417,1.0,2016-06-02
589,023712,00422,1.0,2016-06-09
590,023714,00422,8.0,2016-06-09
591,023722,00422,2.0,2016-06-09
592,023728,00422,2.0,2016-06-09
593,023768,01652,2.0,2016-06-22
594,023870,00421,14.0,2016-06-27
595,023942,00444,1.0,2016-07-11
596,023115,01652,2.0,2016-04-01
597,023127,01652,4.0,2016-05-03
598,023135,01652,3.0,2016-04-01
599,023990,01652,49.0,2016-07-18
600,023137,01652,2.0,2016-05-03
601,023141,01652,3.0,2016-04-01
602,023145,01652,7.0,2016-04-01
603,024052,00427,2.0,2016-08-06
604,024064,00427,2.0,2016-08-06
605,024616,00444,6.0,2016-10-11
606,024078,00427,1.0,2016-08-06
607,024092,00427,1.0,2016-08-06
608,024094,00427,1.0,2016-08-06
609,024100,00427,12.0,2016-08-06
610,023249,00527,1.0,2016-04-29
611,024186,00422,5.0,2016-08-16
612,023305,01652,1.0,2016-05-03
613,023307,01652,7.0,2016-05-03
614,023311,01652,2.0,2016-05-03
615,023331,00419,1.0,2016-05-11
616,024242,00444,1.0,2016-08-27
617,024280,00589,4.0,2016-08-25
618,024282,00589,5.0,2016-08-25
619,024288,00589,2.0,2016-08-25
620,024308,00589,5.0,2016-08-25
621,023381,00417,11.0,2016-05-02
622,023401,00417,10.0,2016-05-02
623,023479,01652,11.0,2016-05-21
624,024376,00417,1.0,2016-09-02
625,024422,00417,2.0,2016-09-08
626,023497,00422,2.0,2016-05-13
627,023501,00422,2.0,2016-05-13
628,023503,00422,1.0,2016-05-13
629,023513,00422,10.0,2016-05-13
630,023517,00422,4.0,2016-05-13
631,024454,00431,10.0,2016-09-22
632,024486,00427,2.0,2016-09-24
633,023533,00422,2.0,2016-05-13
634,023543,00422,1.0,2016-05-13
635,024502,00427,2.0,2016-09-24
636,024504,00427,2.0,2016-09-24
637,024508,01652,3.0,2016-09-26
638,023567,00422,3.0,2016-05-13
639,023657,00419,1.0,2016-05-28
640,023713,00422,7.0,2016-06-09
641,023717,00422,5.0,2016-06-09
642,023731,00422,1.0,2016-06-09
643,023793,00421,1.0,2016-06-15
644,023799,03049,1.0,2016-06-14
645,023863,00417,1.0,2016-06-23
646,023877,00421,6.0,2016-06-27
647,024604,00395,2.0,2016-10-04
648,023957,00422,1.0,2016-07-12
649,023965,00353,1.0,2016-07-14
650,024698,00436,1.0,2016-10-31
651,024013,00265,2.0,2016-07-29
652,024754,01652,11.0,2016-11-03
653,024049,00427,1.0,2016-08-06
654,024061,00427,2.0,2016-08-06
655,024792,00436,2.0,2016-11-11
656,024812,00436,3.0,2016-11-11
657,024828,00265,1.0,2016-11-19
658,024834,00990,1.0,2016-11-16
659,024848,00422,4.0,2016-11-25
660,024852,00422,1.0,2016-11-25
661,024854,00422,2.0,2016-11-25
662,024858,00422,2.0,2016-11-25
663,024103,00427,1.0,2016-08-06
664,024115,00427,4.0,2016-08-06
665,024117,00427,1.0,2016-08-06
666,024900,00427,1.0,2016-11-28
667,024994,00427,1.0,2016-12-15
668,024978,00253,1.0,2016-12-13
669,024189,00422,2.0,2016-10-10
670,024195,00253,2.0,2016-08-18
671,025006,00254,1.0,2016-12-27
672,024219,04279,6.0,2016-08-24
673,025050,04279,2.0,2016-12-26
674,024251,00444,2.0,2016-08-27
675,024265,00444,1.0,2016-08-27
676,025098,01652,3.0,2017-02-10
677,024287,00589,1.0,2016-08-25
678,024291,00589,6.0,2016-08-25
679,025163,03049,1.0,2017-02-01
680,025187,03049,1.0,2017-02-01
681,024423,00417,2.0,2016-09-08
682,025271,00572,2.0,2018-12-19
683,024445,02813,2.0,2016-09-12
684,024489,00427,2.0,2016-09-24
685,024503,00427,3.0,2016-09-24
686,024507,01652,1.0,2016-09-26
687,024529,00417,3.0,2016-09-29
688,025361,00253,1.0,2017-02-22
689,025385,00436,1.0,2017-03-06
690,025399,01652,1.0,2017-03-04
691,025411,01652,6.0,2017-03-04
692,025421,00269,3.0,2017-03-22
693,025469,00338,1.0,2017-03-14
694,025545,00527,1.0,2018-04-18
695,025549,00445,15.0,2017-08-23
696,025872,00447,1.0,2017-04-13
697,025747,01652,2.0,2017-04-04
698,025749,01652,1.0,2017-04-05
699,024633,00427,1.0,2016-10-21
700,024665,04279,1.0,2016-10-21
701,025831,00338,2.0,2017-04-13
702,024693,00436,3.0,2016-10-31
703,025857,00447,16.0,2017-04-13
704,025925,00427,1.0,2017-04-20
705,025929,01652,1.0,2017-04-27
706,025965,00123,5.0,2017-04-26
707,025975,00123,7.0,2017-04-26
708,025977,00457,1.0,2017-04-26
