,codpro,codfor,estoque,min_dt_estoque
7628,089146,06331,4.0,2025-01-14
7630,089174,06331,4.0,2024-09-14
7631,089184,06331,2.0,2025-02-06
7632,089200,06331,12.0,2024-07-16
7633,089208,06331,2.0,2024-09-14
7634,083618,00466,2.0,2024-03-05
7640,089224,06331,3.0,2024-09-21
7641,089226,06331,2.0,2024-09-14
7642,089232,06331,12.0,2024-07-16
7643,089236,06331,2.0,2024-09-14
7644,089244,06331,2.0,2024-09-14
7648,089260,00360,2.0,2025-01-25
7650,089298,02932,16.0,2024-07-22
7651,089314,02932,12.0,2024-07-21
7652,089326,02932,8.0,2024-07-22
7656,089342,02932,8.0,2024-07-22
7657,089370,00360,3.0,2025-01-25
7664,089422,02932,48.0,2024-07-21
7665,089428,02932,72.0,2024-07-21
7667,089438,02932,48.0,2024-07-21
7668,089440,00573,1.0,2024-10-27
7671,089474,02932,40.0,2024-07-21
7672,089476,02932,48.0,2024-07-21
7673,089480,02932,48.0,2024-07-21
7674,089486,02932,12.0,2024-07-23
7675,089492,02932,24.0,2024-07-21
7676,089502,02932,48.0,2024-07-21
7683,089506,02932,24.0,2024-07-22
7684,089510,02932,48.0,2024-07-21
7685,089522,02932,48.0,2024-07-21
7686,083902,00290,2.0,2024-05-06
7687,089552,02932,24.0,2024-07-21
7688,089554,02932,24.0,2024-07-21
7689,089558,02932,72.0,2024-07-21
7690,089566,02932,24.0,2024-07-21
7691,089570,02932,24.0,2024-07-21
7692,089574,02932,48.0,2024-07-21
7697,089600,02932,60.0,2024-07-21
7698,089604,02932,72.0,2024-07-21
7699,089610,02932,40.0,2024-07-21
7700,089622,02932,24.0,2024-07-21
7701,089624,02932,84.0,2024-07-21
7702,089626,02932,24.0,2024-07-21
7709,089628,02932,40.0,2024-07-21
7710,089630,02932,18.0,2024-07-23
7711,089636,02932,24.0,2024-07-21
7712,089660,06368,10.0,2024-07-03
7714,089700,04279,2.0,2025-01-24
7715,089704,00481,6.0,2024-07-04
7716,089706,04279,6.0,2024-12-13
7722,089712,04279,6.0,2025-01-16
7723,089726,04279,4.0,2024-12-10
7724,089734,04279,6.0,2025-01-24
7728,089800,00503,3.0,2024-12-19
7731,089848,00124,4.0,2024-07-03
7732,089850,00451,5.0,2024-07-27
7733,089852,02530,6.0,2024-09-09
7735,084148,00261,2.0,2024-02-26
7736,089888,00496,1.0,2024-06-20
7740,089914,00198,5.0,2024-07-12
7741,089959,00470,2.0,2024-09-12
7742,089981,04279,3.0,2024-08-22
7743,089985,04279,1.0,2025-01-02
7744,084260,00397,1.0,2024-03-05
7745,084272,01148,1.0,2024-01-27
7746,090051,02916,6.0,2024-08-17
7747,084278,05177,6.0,2024-01-29
7749,084284,00397,6.0,2024-08-27
7750,084286,00397,3.0,2024-08-27
7754,084322,00589,3.0,2024-03-26
7755,084324,00468,4.0,2024-03-22
7756,084332,00468,5.0,2024-11-25
7757,084334,00468,4.0,2024-03-22
7758,084352,00468,6.0,2024-04-23
7759,084368,01652,2.0,2024-06-24
7761,084382,02916,1.0,2024-08-05
7762,084402,00449,3.0,2024-08-23
7764,090151,04279,8.0,2025-01-16
7766,090179,04279,4.0,2025-01-16
7767,084434,00278,3.0,2025-03-14
7768,084454,00278,1.0,2024-04-16
7769,084456,00278,3.0,2024-03-18
7775,084512,04845,4.0,2024-04-16
7776,084524,04845,5.0,2024-04-16
7780,090313,02927,4.0,2024-09-05
7781,090331,06332,18.0,2024-07-24
7783,090345,06332,10.0,2024-07-24
7784,090347,06332,27.0,2024-07-24
7785,090351,06332,8.0,2025-01-05
7786,090371,06332,12.0,2024-07-24
7787,090375,06332,15.0,2024-07-24
7788,090381,06332,12.0,2024-07-24
7789,090383,06332,9.0,2024-07-24
7790,090423,00493,9.0,2024-08-27
7791,090425,00493,10.0,2024-08-27
7792,090429,00493,10.0,2024-08-27
7793,090435,00493,12.0,2024-08-27
7794,090437,00493,12.0,2024-08-27
7795,090439,00493,10.0,2024-08-27
7797,090475,00360,6.0,2025-01-25
7798,084620,00278,4.0,2024-08-05
7799,084640,00278,4.0,2024-10-09
7801,084708,00446,2.0,2024-03-28
7802,084724,02530,1.0,2024-04-12
7803,090643,00123,9.0,2024-08-27
