Cliente;grupo;tipo;tamanho;desconto ;skus_sem1;skus_sem2;skus_sem3;fat_sem1;fat_sem2;fat_sem3;marg_sem1;marg_sem2;marg_sem3;;;;;
024022;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024023;;Varejo;Grande;;;;;;;;;;;;;;;
024027;;Varejo;Grande;;;;;;;;;;;;;;;
024029;;Varejo;Grande;;;;;;;;;;;;;;;
024030;;Varejo;Grande;;;;;;;;;;;;;;;
024031;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024039;;Varejo;Grande;;;;;;;;;;;;;;;
024043;;Varejo;Pequeno;;;;;;;;;;;;;;;
024046;;Varejo;Pequeno;;;;;;;;;;;;;;;
024047;;Autocentro;Grande;;;;;;;;;;;;;;;
024048;;Varejo;Grande;;;;;;;;;;;;;;;
024050;;Varejo;Grande;;;;;;;;;;;;;;;
024055;;Varejo;Pequeno;;;;;;;;;;;;;;;
024056;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024057;;Varejo;Pequeno;;;;;;;;;;;;;;;
024060;;Varejo;Grande;;;;;;;;;;;;;;;
024067;;Varejo;Grande;;;;;;;;;;;;;;;
024071;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024074;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024078;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024083;;Varejo;Grande;;;;;;;;;;;;;;;
024094;;Varejo;Grande;;;;;;;;;;;;;;;
024096;;Autocentro;Grande;;;;;;;;;;;;;;;
024099;;Varejo;Grande;;;;;;;;;;;;;;;
024103;;Varejo;Grande;;;;;;;;;;;;;;;
024113;;Varejo;Pequeno;;;;;;;;;;;;;;;
024117;;Autocentro;Grande;;;;;;;;;;;;;;;
024118;;Autocentro;Grande;;;;;;;;;;;;;;;
024119;;Varejo;Pequeno;;;;;;;;;;;;;;;
024120;;Autocentro;Grande;;;;;;;;;;;;;;;
024129;;Varejo;Grande;;;;;;;;;;;;;;;
024134;;Varejo;Grande;;;;;;;;;;;;;;;
024147;;Não qualificado;;;;;;;;;;;;;;;;
024149;;Varejo;Grande;;;;;;;;;;;;;;;
024160;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024161;;Varejo;Grande;;;;;;;;;;;;;;;
024162;;Varejo;Grande;;;;;;;;;;;;;;;
024163;;Varejo;Grande;;;;;;;;;;;;;;;
024164;;Autocentro;Grande;;;;;;;;;;;;;;;
024165;;Varejo;Grande;;;;;;;;;;;;;;;
024170;;Autocentro;Grande;;;;;;;;;;;;;;;
024172;;Autocentro;Grande;;;;;;;;;;;;;;;
024174;;Autocentro;Grande;;;;;;;;;;;;;;;
024205;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024244;;Não qualificado;;;;;;;;;;;;;;;;
024247;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024283;;Varejo;Pequeno;;;;;;;;;;;;;;;
024291;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024325;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024369;;Autocentro;Grande;;;;;;;;;;;;;;;
024377;;Autocentro;Grande;;;;;;;;;;;;;;;
024378;;Autocentro;Grande;;;;;;;;;;;;;;;
024379;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024385;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024388;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024389;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024391;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024424;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024433;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024437;;Varejo;Pequeno;;;;;;;;;;;;;;;
024439;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024442;;Varejo;Pequeno;;;;;;;;;;;;;;;
024443;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024445;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024450;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024471;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024492;;Varejo;Pequeno;;;;;;;;;;;;;;;
024494;;Autocentro;Grande;;;;;;;;;;;;;;;
024496;;Autocentro;Grande;;;;;;;;;;;;;;;
024557;;Autocentro;Grande;;;;;;;;;;;;;;;
024644;;Autocentro;Pequeno;;;;;;;;;;;;;;;
